source,suspicion_score,confidence_tier,n_supporting_sources,wallet,condition_id,market_question,size_usd_approx,direction,outcome_resolved,onchain_flags_count,onchain_wallet_concentration,onchain_size_percentile,onchain_win_aligned,flags,ts_lower,ts_upper,evidence_urls
onchain,1.0,,1,0x095dcfb123a4bc035ee6b0d624bab0cc964352cf,0xe5e57a570056e363a16129a3985cedcdfcb484d0d799a5f527a43baf31a11bf9,"Will the US next strike Iran on February 21, 2026 (ET)?",27027.604147999995,BUY,,6,1.0,99.40400170285227,True,fresh_wallet;single_market;large_first_position;win_aligned_top;directional;early_timing,,,
onchain,1.0,,1,0x146dd7b05bc75c3f7c10fa1eddb5874b1fbfe7a4,0x8f97d034bbf01cd874af524cefc6d83deaa25373c1ab4545a81589a4d3d2b2a8,Will a Democrat win North Carolina Presidential Election?,12957.0,BUY,,6,1.0,99.48501011587271,True,fresh_wallet;single_market;large_first_position;win_aligned_top;directional;early_timing,,,
onchain,1.0,,1,0x1cf58e946147a1d353dfd2d5c153d5be75426440,0x2b5af4a5a0ccabd73488b24bf185366a4991503a9ef823341d45bcf784291d01,Kings vs. Celtics,12760.321931000006,BUY,,6,1.0,97.58293838862559,True,fresh_wallet;single_market;large_first_position;win_aligned_top;directional;early_timing,,,
onchain,1.0,,1,0xc43f69cf5cf7bc4d6cd8049fc821c2affbb2e7ee,0x0567bc02ff9c9e48029c8a1dc889d9748d394fc38ab12493046b9831abd349fd,Will the candidate from the People Power Party win the South Korean Presidential Election?,18117.322466999995,BUY,,6,1.0,99.30151338766007,True,fresh_wallet;single_market;large_first_position;win_aligned_top;directional;early_timing,,,
onchain,1.0,,1,0xa8fac068d32639c40188563c83c206b320e57dda,0x67d7e1b3c2ad0e34e96b69da21be5a24c6d5b26d93683a255beb1c7d6079c23a,Will MrBeast's next video get between 90 and 100 million views on week 1?,14559.455320000001,BUY,,6,1.0,97.76536312849163,True,fresh_wallet;single_market;large_first_position;win_aligned_top;directional;early_timing,,,
onchain,1.0,,1,0xc02356284def0c089d0ae810420ef5425865ccf8,0x7590f51f00a87c7bc60cf740f43b1ca4a97c5e9ad583cf4cf94379508d0a067b,Andy Byron out as Astronomer CEO by next Friday?,30010.0,BUY,,6,0.9999333599893376,97.46462264150944,True,fresh_wallet;single_market;large_first_position;win_aligned_top;directional;early_timing,,,
onchain,1.0,,1,0xcf0d7f69cf162918b33fc1ea7449583fa537132d,0x8f97d034bbf01cd874af524cefc6d83deaa25373c1ab4545a81589a4d3d2b2a8,Will a Democrat win North Carolina Presidential Election?,110340.04960800003,BUY,,6,0.9384463907955516,99.93562626448409,True,fresh_wallet;single_market;large_first_position;win_aligned_top;directional;early_timing,,,
onchain,1.0,,1,0xc68c3539292f8a44113ed4e97c170785c1c0f959,0x7533173253d5573ca8132c9f595e5387476185c6690e1e12fab00784a2717ea5,Will Elon tweet 150–164 times June 27–July 4?,38301.53312,BUY,,6,1.0,99.94378864530636,True,fresh_wallet;single_market;large_first_position;win_aligned_top;directional;early_timing,,,
onchain,1.0,,1,0xd76930596edbb8c784dcc48f52140875bcd4f90c,0x5aac617026fe958a47a2203d3ce46dd581593404e79f878f1ca6752d7dab4b6a,"Will Bitcoin reach $82,000 February 2-8?",10631.738170999999,BUY,,6,1.0,98.97610921501706,True,fresh_wallet;single_market;large_first_position;win_aligned_top;directional;early_timing,,,
onchain,1.0,,1,0x0371d66567d3f0b06711ba5922e06937ca0792bb,0x8f97d034bbf01cd874af524cefc6d83deaa25373c1ab4545a81589a4d3d2b2a8,Will a Democrat win North Carolina Presidential Election?,14840.440600000002,BUY,,6,1.0,99.57697259518116,True,fresh_wallet;single_market;large_first_position;win_aligned_top;directional;early_timing,,,
